기준년월,시군구,평균소득월액
2022-12,울산광역시남구,1413351
2022-12,울산광역시동구,1280099
2022-12,울산광역시북구,1348776
2022-12,울산광역시울주군,1411779
2022-12,세종특별자치시,1468147
2022-12,경기도수원시,1434219
2022-12,경기도성남시,1508098
2022-12,경기도의정부시,1372711
2022-12,경기도안양시,1487352
2022-12,경기도부천시,1423171
2022-12,경기도광명시,1486789
2022-12,경기도평택시,1443226
2022-12,경기도동두천시,1355110
2022-12,경기도안산시,1422538
2022-12,경기도고양시,1456426
2022-12,경기도과천시,1620634
2022-12,경기도구리시,1439288
2022-12,경기도남양주시,1461476
2022-12,경기도오산시,1446516
2022-12,경기도시흥시,1522234
2022-12,경기도군포시,1475710
2022-12,경기도의왕시,1536927
2022-12,경기도하남시,1536904
2022-12,경기도용인시,1533724
2022-12,경기도파주시,1440161
2022-12,경기도이천시,1493446
2022-12,경기도안성시,1423732
2022-12,경기도김포시,1533598
2022-12,경기도화성시,1512190
2022-12,경기도광주시,1474804
2022-12,경기도양주시,1409966
2022-12,경기도포천시,1476450
2022-12,경기도여주시,1453950
2022-12,경기도연천군,1369616
2022-12,경기도가평군,1434380
2022-12,경기도양평군,1479987
2022-12,강원특별자치도춘천시,1382591
2022-12,강원특별자치도원주시,1395111
2022-12,강원특별자치도강릉시,1358314
2022-12,강원특별자치도동해시,1358157
2022-12,강원특별자치도태백시,1335825
2022-12,강원특별자치도속초시,1483475
2022-12,강원특별자치도삼척시,1334788
2022-12,강원특별자치도홍천군,1445476
2022-12,강원특별자치도횡성군,1383992
2022-12,강원특별자치도영월군,1337760
2022-12,강원특별자치도평창군,1364408
2022-12,강원특별자치도정선군,1328361
2022-12,강원특별자치도철원군,1390686
2022-12,강원특별자치도화천군,1396460
2022-12,강원특별자치도양구군,1314079
2022-12,강원특별자치도인제군,1447085
2022-12,강원특별자치도고성군,1425630
2022-12,강원특별자치도양양군,1425974
2022-12,충청북도청주시,1428955
2022-12,충청북도충주시,1390787
2022-12,충청북도제천시,1395689
2022-12,충청북도보은군,1331155
2022-12,충청북도옥천군,1394738
2022-12,충청북도영동군,1301386
2022-12,충청북도증평군,1447646
2022-12,충청북도진천군,1538337
2022-12,충청북도괴산군,1329292
2022-12,충청북도음성군,1510375
2022-12,충청북도단양군,1321813
2022-12,충청남도천안시,1419039
2022-12,충청남도공주시,1387030
2022-12,충청남도보령시,1418748
2022-12,충청남도아산시,1450466
2022-12,충청남도서산시,1433116
2022-12,충청남도논산시,1348204
2022-12,충청남도계룡시,1368935
2022-12,충청남도당진시,1475663
2022-12,충청남도금산군,1329450
2022-12,충청남도부여군,1305433
2022-12,충청남도서천군,1434413
2022-12,충청남도청양군,1307567
2022-12,충청남도홍성군,1407701
2022-12,충청남도예산군,1365332
2022-12,충청남도태안군,1437438
2022-12,전북특별자치도전주시,1379974
2022-12,전북특별자치도군산시,1364524
2022-12,전북특별자치도익산시,1346969
2022-12,전북특별자치도정읍시,1302545
2022-12,전북특별자치도남원시,1275500
2022-12,전북특별자치도김제시,1293221
2022-12,전북특별자치도완주군,1313118
2022-12,전북특별자치도진안군,1232908
2022-12,전북특별자치도무주군,1296856
2022-12,전북특별자치도장수군,1219529
2022-12,전북특별자치도임실군,1250518
2022-12,전북특별자치도순창군,1235551
2022-12,전북특별자치도고창군,1293360
2022-12,전북특별자치도부안군,1288875
2022-12,전라남도목포시,1264752
