지표연도,적용기간,성별,시도,시군구,평균 기대수명,보험료1분위,보험료2분위,보험료3분위,보험료4분위,보험료5분위,기대수명격차
2021,6년,전체,경기도,수원시 장안구,84.39,80.52,84.35,84.95,85.94,87.13,6.61
2021,6년,남성,경기도,수원시 권선구,81.43,77.32,81.26,82.08,83.27,83.84,6.52
2021,6년,여성,경기도,수원시 권선구,86.65,84.24,85.96,87.71,87.03,89.05,4.81
2021,6년,전체,경기도,수원시 권선구,84.27,80.81,83.74,85.23,85.53,86.72,5.91
2021,6년,남성,경기도,수원시 팔달구,80.02,73.85,80.03,81.34,82.47,83.61,9.76
2021,6년,여성,경기도,수원시 팔달구,86.73,82.48,86.09,87.84,88.52,90.86,8.37
2021,6년,전체,경기도,수원시 팔달구,83.52,78.07,83.13,84.61,85.86,87.37,9.29
2021,6년,남성,경기도,수원시 영통구,82.96,80.61,82.99,82.98,83.51,85.09,4.48
2021,6년,여성,경기도,수원시 영통구,87.75,86.69,87.16,87.12,88.22,89.67,2.98
2021,6년,전체,경기도,수원시 영통구,85.64,83.79,85.27,85.32,86.33,87.80,4.01
2021,6년,남성,경기도,성남시 수정구,80.38,75.20,80.88,81.19,82.31,83.34,8.15
2021,6년,여성,경기도,성남시 수정구,86.86,83.54,87.31,87.75,86.77,90.18,6.64
2021,6년,전체,경기도,성남시 수정구,83.70,79.20,84.10,84.54,84.76,86.80,7.60
2021,6년,남성,경기도,성남시 중원구,80.24,74.69,80.44,81.65,82.67,83.05,8.36
2021,6년,여성,경기도,성남시 중원구,86.28,82.46,86.79,86.81,87.81,88.95,6.49
2021,6년,전체,경기도,성남시 중원구,83.44,78.52,83.53,84.52,85.55,86.47,7.95
2021,6년,남성,경기도,성남시 분당구,85.12,82.14,84.78,85.68,86.62,86.70,4.56
2021,6년,여성,경기도,성남시 분당구,88.90,86.73,88.47,88.76,90.03,91.15,4.42
2021,6년,전체,경기도,성남시 분당구,87.23,84.57,86.81,87.44,88.66,89.12,4.56
2021,6년,남성,경기도,의정부시,80.79,75.50,81.51,82.00,82.22,83.71,8.20
2021,6년,여성,경기도,의정부시,86.52,82.79,86.03,87.82,87.91,89.42,6.63
2021,6년,전체,경기도,의정부시,83.83,79.16,83.88,85.08,85.29,86.86,7.70
2021,6년,남성,경기도,안양시 만안구,81.30,76.57,81.63,82.08,83.54,83.73,7.16
2021,6년,여성,경기도,안양시 만안구,87.53,84.43,87.10,88.13,88.59,90.66,6.23
2021,6년,전체,경기도,안양시 만안구,84.61,80.46,84.44,85.17,86.56,87.64,7.18
2021,6년,남성,경기도,안양시 동안구,82.76,80.35,82.58,82.57,83.70,84.96,4.61
2021,6년,여성,경기도,안양시 동안구,88.13,85.79,88.07,87.65,88.72,92.38,6.59
2021,6년,전체,경기도,안양시 동안구,85.72,83.25,85.49,85.42,86.51,88.74,5.48
2021,6년,남성,경기도,부천시,81.58,77.00,81.61,82.59,83.62,83.88,6.87
2021,6년,여성,경기도,부천시,87.02,84.54,87.05,87.19,88.17,88.45,3.91
2021,6년,전체,경기도,부천시,84.66,80.89,84.57,85.23,86.43,86.76,5.87
